img_name,season
../fashiondata_tng/photos/179/1791228519-sugarspring-dress_400.jpg,spring
../fashiondata_tng/photos/179/1796226906-green-random-top-black-furla-bag-black-shoes-summer-aldo-wedges_400.jpg,summer
../fashiondata_tng/photos/179/1796474769-asos-top-diy-shorts-autumn-ripple-necklace_400.jpg,autumn
../fashiondata_tng/photos/929/9291391600-black-bag-black-chevron-winter-lennon-shorts-white-stradivarius-necklace_400.jpg,winter
../fashiondata_tng/photos/968/9687886305-black-waterfall-torrid-jacket-blue-color-block-faith21plus-skirt-turquoise-b_400.jpg,autumn
../fashiondata_tng/photos/968/9685612622-winter-kate-dress-headband-h-m-accessories-vintage-jewelry-accessories_400.jpg,winter
../fashiondata_tng/photos/968/9689635951-winter-kate-dress-givenchy-bag_400.jpg,winter
../fashiondata_tng/photos/968/9680003728-fallas-dress_400.jpg,autumn
../fashiondata_tng/photos/968/9683788305-white-mango-jeans-camel-springfield-bag-tawny-mango-sandals_400.jpg,spring
../fashiondata_tng/photos/584/5843155461-green-random-from-korea-top-green-topshop-skirt-gold-mendrez-spring-2007-sho_400.jpg,spring
../fashiondata_tng/photos/584/5842565217-black-timberland-boots-black-springfield-blouse-beige-vintage-skirt_400.jpg,spring
../fashiondata_tng/photos/584/5841531537-black-black-koton-t-shirt-nude-summer-tissue-sj-skirt-nude-accessories_400.jpg,summer
../fashiondata_tng/photos/348/3486488208-stitches-t-shirt-call-it-spring-boots-h-m-jeans-second-hand-shirt_400.jpg,spring
../fashiondata_tng/photos/348/3483809983-white-peep-toe-spring-shoes-black-trendyland-dress-red-floppy-llbean-hat_400.jpg,spring
../fashiondata_tng/photos/348/3483468359-topman-jacket-spring-leggings-gold-dot-flats_400.jpg,spring
../fashiondata_tng/photos/348/3484744324-gray-dr-martens-boots-army-green-human-jacket-black-springfield-shirt_400.jpg,spring
../fashiondata_tng/photos/729/7292837431-lime-green-call-it-spring-bag-sky-blue-zara-pants-navy-club-couture-top_400.jpg,spring
../fashiondata_tng/photos/729/7296492014-camel-springfield-bag_400.jpg,spring
../fashiondata_tng/photos/186/1862562250-periwinkle-summer-lee-cooper-jeans-black-printed-acw-wedges-white-chanel-new_400.jpg,summer
../fashiondata_tng/photos/186/1867801772-bodysuit-suits-store-suit-springfield-blouse-tie_400.jpg,spring
../fashiondata_tng/photos/186/1865209884-brown-costa-blanca-dress-dark-brown-garage-bag-gold-spring-sandals_400.jpg,spring
../fashiondata_tng/photos/186/1865637947-zara-bag-springfield-t-shirt-blanco-pants-h-m-belt-h-m-sandals_400.jpg,spring
../fashiondata_tng/photos/983/9838902504-trask-bag-bdg-shorts-call-it-spring-wedges-luluscom-top_400.jpg,spring
../fashiondata_tng/photos/983/9833276866-amichi-shirt-springfield-bag-billabong-skirt-inside-sneakers_400.jpg,spring
../fashiondata_tng/photos/983/9831583166-black-forever-21-shirt-black-fall-looks-ann-taylor-pants_400.jpg,autumn
../fashiondata_tng/photos/135/1353391630-black-spring-boots-silver-asos-dress-black-forever-21-leggings-green-diy-n_400.jpg,spring
../fashiondata_tng/photos/135/1355023423-white-h-m-shirt-black-spring-shoes-sandals-black-h-m-pants-turquoise-blue-_400.jpg,spring
../fashiondata_tng/photos/135/1356235603-blue-forever-21-dress-black-shop-mamie-bag-dark-brown-spring-wedges_400.jpg,spring
../fashiondata_tng/photos/710/7101374745-avon-dress-call-it-spring-purse-gomax-pumps_400.jpg,spring
../fashiondata_tng/photos/710/7101377607-black-call-it-spring-boots-black-forever-21-bag_400.jpg,spring
../fashiondata_tng/photos/710/7104144655-brown-marypaz-boots-sky-blue-springfield-dress-brown-springfield-jacket_400.jpg,spring
../fashiondata_tng/photos/710/7106518578-heather-gray-wool-moonchild-vintage-dress-ruby-red-beanie-fall-code-hat_400.jpg,autumn
../fashiondata_tng/photos/710/7106816509-springfield-bag-zara-blouse_400.jpg,spring
../fashiondata_tng/photos/710/7105348922-anne-taylor-top-sky-blue-vintage-vest-vintage-pants-summersault-shoes-ja_400.jpg,summer
../fashiondata_tng/photos/692/6922850636-white-h-m-t-shirt-gray-h-m-skirt-camden-vintage-bag-black-springfield-shoe_400.jpg,spring
